Block (x, y) -> (dx, dy, SAD)
Block (64, 105) -> (0, -8, 0)
Block (105, 105) -> (8, -8, 0)
Block (16, 106) -> (8, -8, 550)
Block (50, 106) -> (8, -8, 550)
Block (51, 106) -> (0, -8, 0)
Block (52, 106) -> (0, -8, 0)
Block (63, 106) -> (0, -8, 0)
Block (64, 106) -> (8, 0, 250)
Block (65, 106) -> (0, -8, 0)
Block (66, 106) -> (0, -8, 0)
Block (104, 106) -> (8, -8, 300)
Block (16, 107) -> (8, 8, 300)
Block (51, 107) -> (8, 0, 600)
Block (52, 107) -> (8, 0, 400)
Block (53, 107) -> (8, 0, 50)
Block (54, 107) -> (0, -8, 0)
Block (65, 107) -> (-8, -8, 500)
Block (66, 107) -> (-8, -8, 400)
Block (67, 107) -> (8, 8, 350)
Block (104, 107) -> (8, -8, 800)
Block (16, 108) -> (0, -8, 850)
Block (17, 108) -> (0, -8, 0)
Block (53, 108) -> (8, 0, 50)
Block (54, 108) -> (8, 0, 300)
Block (55, 108) -> (0, -8, 0)
Block (67, 108) -> (8, 8, 200)
Block (68, 108) -> (0, -8, 0)
Block (104, 108) -> (0, 8, 450)
Block (54, 109) -> (0, -8, 100)
Block (55, 109) -> (0, -8, 100)
Block (67, 109) -> (8, 8, 650)
Block (68, 109) -> (8, -8, 0)
Block (104, 109) -> (8, -8, 400)
Block (15, 110) -> (8, -8, 400)
Block (55, 110) -> (0, -8, 800)
Block (68, 110) -> (0, -8, 350)
Block (69, 110) -> (0, -8, 0)
Block (103, 110) -> (8, -8, 250)
Block (15, 111) -> (8, -8, 0)
Block (55, 111) -> (0, 8, 800)
Block (68, 111) -> (0, -8, 0)
Block (69, 111) -> (8, 0, 150)
Block (70, 111) -> (0, -8, 0)
Block (71, 111) -> (0, -8, 0)
Block (101, 111) -> (0, -8, 500)
Block (14, 112) -> (8, 8, 100)
Block (15, 112) -> (8, -8, 100)
Block (55, 112) -> (0, 8, 550)
Block (70, 112) -> (8, 0, 400)
Block (71, 112) -> (-8, -8, 250)
Block (72, 112) -> (-8, -8, 400)
Block (73, 112) -> (0, -8, 50)
Block (74, 112) -> (0, -8, 100)
Block (75, 112) -> (0, -8, 550)
Block (76, 112) -> (-8, 0, 200)
Block (77, 112) -> (8, 0, 150)
Block (78, 112) -> (0, -8, 0)
Block (15, 113) -> (0, -8, 450)
Block (16, 113) -> (0, -8, 0)
Block (55, 113) -> (8, -8, 150)
Block (77, 113) -> (8, 0, 0)
Block (78, 113) -> (8, 0, 400)
Block (79, 113) -> (0, -8, 200)
Block (80, 113) -> (0, -8, 0)
Block (81, 113) -> (0, -8, 0)
Block (83, 113) -> (0, -8, 0)
Block (84, 113) -> (-8, 0, 300)
Block (85, 113) -> (8, 0, 50)
Block (86, 113) -> (0, -8, 0)
Block (92, 113) -> (0, -8, 0)
Block (93, 113) -> (0, -8, 0)
Block (100, 113) -> (8, -8, 50)
Block (16, 114) -> (8, 0, 400)
Block (17, 114) -> (0, -8, 550)
Block (18, 114) -> (0, -8, 0)
Block (19, 114) -> (0, -8, 0)
Block (54, 114) -> (8, -8, 700)
Block (55, 114) -> (8, -8, 0)
Block (79, 114) -> (-8, -8, 50)
Block (80, 114) -> (-8, -8, 450)
Block (85, 114) -> (8, 0, 150)
Block (86, 114) -> (8, 0, 550)
Block (87, 114) -> (-8, -8, 100)
Block (88, 114) -> (0, -8, 0)
Block (89, 114) -> (0, -8, 0)
